settlement_id,date,amount,utr_reference,payer_account,fees_deducted,net_amount,tax_deducted,description,currency
STL0001,2026-07-04,32800000,REF0001,ACC_OMNI,656000,32144000,0,Settlement from Omni Global,INR
STL0002,2026-07-05,66300000,REF0002,ACC_GLOBAL,1326000,64974000,0,Settlement from Global Tech,INR
STL0003,2026-07-06,38500000,REF0003,ACC_ACME,770000,37730000,0,Settlement from Acme Corp,INR
STL0004,2026-07-07,121600000,REF0004,ACC_DELTA,2432000,119168000,0,Settlement from Delta Systems,INR
STL0005,2026-07-22,96400000,REF0005,ACC_APEX,1928000,94472000,0,Settlement from Apex Logistics,INR
STL0006,2026-07-18,29100000,REF0006,ACC_SWIFT,582000,28518000,0,Settlement from Swift Retail,INR
STL0007,2026-07-10,113400000,REF0007,ACC_OMNI,2268000,111132000,0,Settlement from Omni Global,INR
STL0008,2026-07-11,124900000,REF0008,ACC_GLOBAL,2498000,122402000,0,Settlement from Global Tech,INR
STL0009,2026-07-12,143000000,REF0009,ACC_ACME,2860000,140140000,0,Settlement from Acme Corp,INR
STL0010,2026-07-13,75200000,REF0010,ACC_DELTA,1504000,73696000,0,Settlement from Delta Systems,INR
STL0011,2026-07-28,88400000,REF0011,ACC_APEX,1768000,86632000,0,Settlement from Apex Logistics,INR
STL0012,2026-07-24,49500000,REF0012,ACC_SWIFT,990000,48510000,0,Settlement from Swift Retail,INR
STL0013,2026-07-16,154200000,REF0013,ACC_OMNI,3084000,151116000,0,Settlement from Omni Global,INR
STL0014,2026-07-17,62100000,REF0014,ACC_GLOBAL,1242000,60858000,0,Settlement from Global Tech,INR
STL0015,2026-07-03,108900000,REF0015,ACC_ACME,2178000,106722000,0,Settlement from Acme Corp,INR
STL0016,2026-07-04,34500000,REF0016,ACC_DELTA,690000,33810000,0,Settlement from Delta Systems,INR
STL0017,2026-07-19,77800000,REF0017,ACC_APEX,1556000,76244000,0,Settlement from Apex Logistics,INR
STL0018,2026-07-15,91200000,REF0018,ACC_SWIFT,1824000,89376000,0,Settlement from Swift Retail,INR
STL0019,2026-07-07,132000000,REF0019,ACC_OMNI,2640000,129360000,0,Settlement from Omni Global,INR
STL0020,2026-07-08,56000000,REF0020,ACC_GLOBAL,1120000,54880000,0,Settlement from Global Tech,INR
STL0021,2026-07-09,32800000,REF0021,ACC_ACME,656000,32144000,0,Settlement from Acme Corp,INR
STL0022,2026-07-10,66300000,REF0022,ACC_DELTA,1326000,64974000,0,Settlement from Delta Systems,INR
STL0023,2026-07-25,38500000,REF0023,ACC_APEX,770000,37730000,0,Settlement from Apex Logistics,INR
STL0024,2026-07-21,121600000,REF0024,ACC_SWIFT,2432000,119168000,0,Settlement from Swift Retail,INR
STL0025,2026-07-13,96400000,REF0025,ACC_OMNI,1928000,94472000,0,Settlement from Omni Global,INR
STL0026,2026-07-14,29100000,REF0026,ACC_GLOBAL,582000,28518000,0,Settlement from Global Tech,INR
STL0027,2026-07-15,113400000,REF0027,ACC_ACME,2268000,111132000,0,Settlement from Acme Corp,INR
STL0028,2026-07-16,124900000,REF0028,ACC_DELTA,2498000,122402000,0,Settlement from Delta Systems,INR
STL0029,2026-07-31,143000000,REF0029,ACC_APEX,2860000,140140000,0,Settlement from Apex Logistics,INR
STL0030,2026-07-12,75200000,REF0030,ACC_SWIFT,1504000,73696000,0,Settlement from Swift Retail,INR
STL0031,2026-07-04,88400000,REF0031,ACC_OMNI,1768000,86632000,0,Settlement from Omni Global,INR
STL0032,2026-07-05,49500000,REF0032,ACC_GLOBAL,990000,48510000,0,Settlement from Global Tech,INR
STL0033,2026-07-06,154200000,REF0033,ACC_ACME,3084000,151116000,0,Settlement from Acme Corp,INR
