order_id,invoice_date,expected_amount,customer_name,customer_reference,expected_settlement_date,tax_amount,currency,status
ORD3001,2026-08-02,18500000,Acme Corp,REF3001,2026-08-04,3330000,INR,settled
ORD3002,2026-08-03,22000000,Vortex Dynamics,REF3002,2026-08-05,3960000,INR,settled
ORD3003,2026-08-04,25500000,Pioneer Auto,REF3003,2026-08-06,4590000,INR,settled
ORD3004,2026-08-05,29000000,Raga Exports,REF3004,2026-08-07,5220000,INR,settled
ORD3005,2026-08-06,32500000,Global Tech,REF3005,2026-08-08,5850000,INR,settled
ORD3006,2026-08-07,36000000,Delta Systems,REF3006,2026-08-09,6480000,INR,settled
ORD3007,2026-08-08,39500000,Omni Global,REF3007,2026-08-10,7110000,INR,settled
ORD3008,2026-08-09,43000000,Meridian Steel,REF3008,2026-08-11,7740000,INR,settled
ORD3009,2026-08-10,46500000,Everest Textiles,REF3009,2026-08-12,8370000,INR,settled
ORD3010,2026-08-11,50000000,Acme Corp,REF3010,2026-08-13,9000000,INR,settled
ORD3011,2026-08-12,53500000,Vortex Dynamics,REF3011,2026-08-14,9630000,INR,settled
ORD3012,2026-08-13,57000000,Pioneer Auto,REF3012,2026-08-15,10260000,INR,settled
ORD3013,2026-08-14,60500000,Raga Exports,REF3013,2026-08-16,10890000,INR,settled
ORD3014,2026-08-15,64000000,Global Tech,REF3014,2026-08-17,11520000,INR,settled
ORD3015,2026-08-16,67500000,Delta Systems,REF3015,2026-08-18,12150000,INR,settled
ORD3016,2026-08-17,71000000,Omni Global,REF3016,2026-08-19,12780000,INR,settled
ORD3017,2026-08-18,74500000,Meridian Steel,REF3017,2026-08-20,13410000,INR,settled
ORD3018,2026-08-19,78000000,Everest Textiles,REF3018,2026-08-21,14040000,INR,settled
ORD3019,2026-08-20,81500000,Acme Corp,REF3019,2026-08-22,14670000,INR,settled
ORD3020,2026-08-21,85000000,Vortex Dynamics,REF3020,2026-08-23,15300000,INR,settled
ORD3021,2026-08-22,88500000,Pioneer Auto,REF3021,2026-08-24,15930000,INR,settled
ORD3022,2026-08-23,92000000,Raga Exports,REF3022,2026-08-25,16560000,INR,settled
ORD3023,2026-08-24,95500000,Global Tech,REF3023,2026-08-26,17190000,INR,settled
ORD3024,2026-08-25,99000000,Delta Systems,REF3024,2026-08-27,17820000,INR,settled
ORD3025,2026-08-01,102500000,Omni Global,REF3025,2026-08-03,18450000,INR,settled
ORD3026,2026-08-02,106000000,Meridian Steel,REF3026,2026-08-04,19080000,INR,settled
