settlement_id,date,amount,utr_reference,payer_account,fees_deducted,net_amount,description,currency
STL0003,2026-07-02,37181.36,REF79402654,Kale LLC,0.0,37181.36,UPI/HDFC9703905715/Settlement for REF79402654,INR
STL0024,2026-07-23,33871.74,REF36026064,Mangal-Sampath,0.0,33871.74,UPI/HDFC4944899549/Settlement for REF36026064,INR
STL0051,2026-07-25,10981.04,REF28708317,Shetty Ltd,0.0,10981.04,UPI partial settlement for REF28708317,INR
STL0002,2026-07-06,15085.91,REF01338908,Saini and Sons,0.0,15085.91,UPI/KKBK2812140441/Settlement for REF01338908,INR
STL0017,2026-07-10,41877.22,REF34657871,Kar Inc,0.0,41877.22,UPI/KKBK7609857128/Settlement for REF34657871,INR
STL0054,2026-07-11,12140.68,REF88957986,"Sehgal, Dutt and Soman",0.0,12140.68,UPI partial settlement for REF88957986,INR
STL0011,2026-07-15,76569.62,REF71012269,Rajan Group,0.0,76569.62,UPI/ICIC5993561321/Settlement for REF71012269,INR
STL0047,2026-07-23,3272.91,REF43320037,"Bora, Shah and Sachdeva",0.0,3272.91,UPI partial settlement for REF43320037,INR
STL0020,2026-07-06,71326.68,REF99737631,Sankar LLC,0.0,71326.68,UPI/KKBK5567816720/Settlement for REF99737631,INR
STL0049,2026-07-23,11327.02,REF93676320,Sandal and Sons,0.0,11327.02,UPI partial settlement for REF93676320,INR
STL0044,2026-07-03,53114.15,REF44369957,Sathe-Kala,0.0,53114.15,UPI/AXIS9805294274/Settlement for REF44369957,INR
STL0093,2026-07-23,-36360.84,REF16934060,"Yohannan, Hegde and Patla",0,-36360.84,Chargeback reversal of REF16934060,INR
STL0040,2026-07-22,16146.89,REF29401965,"Murthy, Sarin and Vaidya",0.0,16146.89,UPI/HDFC6009268066/Settlement for REF29401965,INR
STL0033,2026-07-12,40430.55,REF74016400,De-Lala,0.0,40430.55,UPI/ICIC8168204967/Settlement for REF74016400,INR
STL0037,2026-07-15,18832.3,REF02563421,Barad-Singhal,0.0,18832.3,UPI/HDFC1822873088/Settlement for REF02563421,INR
STL0008,2026-07-16,64007.53,REF48350305,Loyal-Bhatti,0.0,64007.53,UPI/AXIS7665963761/Settlement for REF48350305,INR
STL0064,2026-07-05,13620.4,BULK931491,Issac-Borra,0.0,13620.4,Bulk settlement covering 2 invoices,INR
STL0026,2026-07-09,40911.54,REF09788208,Grewal Inc,0.0,40911.54,UPI/KKBK5067116918/Settlement for REF09788208,INR
STL0042,2026-07-08,861.61,REF61595148,Rege-Narain,0.0,861.61,UPI/SBIN7249213370/Settlement for REF61595148,INR
STL0012,2026-07-13,45291.44,REF97848018,Oak-Choudhury,0.0,45291.44,UPI/AXIS4131575764/Settlement for REF97848018,INR
STL0028,2026-07-07,28203.7,REF99854353,Randhawa-Deep,0.0,28203.7,UPI/ICIC7900268326/Settlement for REF99854353,INR
STL0052,2026-07-26,21962.08,REF28708317,Shetty Ltd,0.0,21962.08,UPI partial settlement for REF28708317,INR
STL0056,2026-07-12,1796.74,REF74348734,Brahmbhatt-Mangal,0.0,1796.74,UPI partial settlement for REF74348734,INR
STL0031,2026-07-12,39106.84,REF84980841,Lalla Inc,0.0,39106.84,UPI/KKBK1945826486/Settlement for REF84980841,INR
STL0091,2026-07-01,8253.37,MISC467737,"Dhillon, Rajagopal and Halder",0.0,8253.37,Unidentified inward transfer,INR
STL0087,2026-07-19,51481.75,REF71545168,Shere Group,0.0,51481.75,UPI/KKBK6679017210/Settlement for REF71545168 (duplicate credit),INR
STL0053,2026-07-11,12140.68,REF88957986,"Sehgal, Dutt and Soman",0.0,12140.68,UPI partial settlement for REF88957986,INR
STL0043,2026-07-16,26470.59,REF64823662,"Mitra, Ravi and Acharya",0.0,26470.59,UPI/HDFC2274350418/Settlement for REF64823662,INR
STL0013,2026-07-08,64162.05,REF46270482,"Cherian, Misra and Tripathi",0.0,64162.05,UPI/ICIC3392080953/Settlement for REF46270482,INR
STL0078,2026-07-06,30458.7,REF13493681,Dixit LLC,0.0,30458.7,UPI/ICIC1164313410/Settlement ref REF13493681,INR
STL0077,2026-07-10,47329.4,REF06797483,Mandal-Setty,0.0,47329.4,UPI/ICIC5033992825/Settlement ref REF06797483,INR
STL0080,2026-07-20,43234.62,REF46488771,"Baral, Sankaran and Naidu",0.0,43234.62,UPI/SBIN9597198563/Settlement for REF46488771 (rounding),INR
STL0004,2026-07-09,37483.79,REF11615594,Sharaf PLC,0.0,37483.79,UPI/SBIN7825844140/Settlement for REF11615594,INR
STL0038,2026-07-20,24018.68,REF33754330,"Hans, Rastogi and Narasimhan",0.0,24018.68,UPI/SBIN6083042422/Settlement for REF33754330,INR
STL0030,2026-07-17,20801.13,REF38425135,Dugar-Sarma,0.0,20801.13,UPI/HDFC1965067727/Settlement for REF38425135,INR
STL0048,2026-07-22,11327.02,REF93676320,Sandal and Sons,0.0,11327.02,UPI partial settlement for REF93676320,INR
STL0062,2026-07-21,45772.86,BULK272980,Nayar-Ravel,0.0,45772.86,Bulk settlement covering 3 invoices,INR
STL0039,2026-07-16,13147.48,REF41458685,D’Alia LLC,0.0,13147.48,UPI/SBIN1420514789/Settlement for REF41458685,INR
STL0027,2026-07-05,12111.93,REF91361939,"Baral, Bumb and Saini",0.0,12111.93,UPI/KKBK4289233844/Settlement for REF91361939,INR
STL0076,2026-07-11,37900.36,REF91334132,Borde and Sons,0.0,37900.36,UPI/HDFC7006365648/Settlement ref REF91334132,INR
STL0090,2026-07-04,336286.23,REF86131712,Manne-Upadhyay,0.0,336286.23,UPI/ICIC1855256552/Settlement for REF86131712 (FX converted),INR
STL0045,2026-07-17,10042.8,REF87214895,Keer Ltd,0.0,10042.8,UPI/KKBK1798112150/Settlement for REF87214895,INR
STL0025,2026-07-22,82474.43,REF87234309,"Bhat, Murthy and Bhandari",0.0,82474.43,UPI/AXIS8760038701/Settlement for REF87234309,INR
STL0015,2026-07-28,67804.28,REF15430391,Sunder Inc,0.0,67804.28,UPI/ICIC1284277889/Settlement for REF15430391,INR
STL0010,2026-07-10,13886.87,REF88496965,Devi PLC,0.0,13886.87,UPI/HDFC4721519026/Settlement for REF88496965,INR
STL0009,2026-07-23,32760.67,REF39537672,Dewan-Koshy,0.0,32760.67,UPI/AXIS9786748825/Settlement for REF39537672,INR
STL0006,2026-07-06,56971.19,REF34131647,"Patla, Gaba and Prabhakar",0.0,56971.19,UPI/AXIS5693307665/Settlement for REF34131647,INR
STL0035,2026-07-28,32445.48,REF98262045,Parmar and Sons,0.0,32445.48,UPI/AXIS7146318035/Settlement for REF98262045,INR
STL0069,2026-07-20,2122.3,REF68557444,Dara Ltd,50.09,2072.21,UPI/AXIS4882343658/Settlement for REF68557444 after platform fee,INR
STL0022,2026-07-25,45265.83,REF38726247,Borra Group,0.0,45265.83,UPI/ICIC5774080233/Settlement for REF38726247,INR
STL0074,2026-07-19,42135.55,REF90229413,Saha PLC,0.0,42135.55,UPI/ICIC4011966884/Delayed settlement for REF90229413,INR
STL0086,2026-07-19,51481.75,REF71545168,Shere Group,0.0,51481.75,UPI/ICIC6197695041/Settlement for REF71545168,INR
STL0094,2026-07-20,-18832.3,REF02563421,Barad-Singhal,0,-18832.3,Chargeback reversal of REF02563421,INR
STL0046,2026-07-24,3272.91,REF43320037,"Bora, Shah and Sachdeva",0.0,3272.91,UPI partial settlement for REF43320037,INR
STL0005,2026-07-27,27286.38,REF16184959,Boase Inc,0.0,27286.38,UPI/SBIN6756332150/Settlement for REF16184959,INR
STL0088,2026-07-17,337526.2,REF03859770,Loke PLC,0.0,337526.2,UPI/HDFC7490442894/Settlement for REF03859770 (FX converted),INR
STL0079,2026-07-22,58492.44,REF21024994,Dash-Sidhu,0.0,58492.44,UPI/ICIC5791662169/Settlement for REF21024994 (rounding),INR
STL0081,2026-07-27,61603.52,REF94013990,"Luthra, Baria and Gill",0.0,61603.52,UPI/AXIS9249648005/Settlement for REF94013990 (rounding),INR
STL0075,2026-07-14,79468.68,REF99386747,"Sanghvi, Mody and Bhasin",0.0,79468.68,UPI/HDFC7271954644/Settlement ref REF99386747,INR
STL0073,2026-07-09,69671.52,REF75204711,Swamy-Borah,0.0,69671.52,UPI/AXIS9265609985/Delayed settlement for REF75204711,INR
STL0066,2026-07-23,82462.04,REF52735454,"Majumdar, Anne and Varughese",1946.1,80515.94,UPI/ICIC4633987776/Settlement for REF52735454 after platform fee,INR
STL0063,2026-07-23,29778.18,BULK310033,"Zacharia, Ben and Palla",0.0,29778.18,Bulk settlement covering 3 invoices,INR
STL0050,2026-07-26,16471.55,REF28708317,Shetty Ltd,0.0,16471.55,UPI partial settlement for REF28708317,INR
STL0036,2026-07-16,78853.73,REF31586923,Goel Group,0.0,78853.73,UPI/AXIS1422701550/Settlement for REF31586923,INR
STL0082,2026-07-22,21408.65,REF78742967,Singhal LLC,0.0,21408.65,UPI/ICIC7473041886/Settlement for REF78742967,INR
STL0034,2026-07-08,79801.03,REF27868011,"Dixit, Banik and Pingle",0.0,79801.03,UPI/HDFC8664882079/Settlement for REF27868011,INR
STL0070,2026-07-19,62444.16,REF35182337,Vohra-Mandal,1473.68,60970.48,UPI/KKBK3373077218/Settlement for REF35182337 after platform fee,INR
STL0061,2026-07-08,46631.29,BULK665876,Kala Inc,0.0,46631.29,Bulk settlement covering 3 invoices,INR
STL0021,2026-07-15,42680.28,REF66701065,Kothari and Sons,0.0,42680.28,UPI/KKBK9639245200/Settlement for REF66701065,INR
STL0058,2026-07-18,8082.2,REF34558122,Rajagopal Ltd,0.0,8082.2,UPI partial settlement for REF34558122,INR
STL0071,2026-07-17,7517.71,REF13435240,"Walla, Date and Mahal",0.0,7517.71,UPI/ICIC2536778950/Delayed settlement for REF13435240,INR
STL0092,2026-07-08,80214.65,MISC982146,Tripathi-Loke,0.0,80214.65,Unidentified inward transfer,INR
STL0065,2026-07-25,20687.59,BULK849877,"Dua, Saran and Goda",0.0,20687.59,Bulk settlement covering 2 invoices,INR
STL0057,2026-07-12,3593.5,REF74348734,Brahmbhatt-Mangal,0.0,3593.5,UPI partial settlement for REF74348734,INR
STL0041,2026-07-18,36360.84,REF16934060,"Yohannan, Hegde and Patla",0.0,36360.84,UPI/SBIN4875962612/Settlement for REF16934060,INR
STL0083,2026-07-22,21408.65,REF78742967,Singhal LLC,0.0,21408.65,UPI/SBIN6695912196/Settlement for REF78742967 (duplicate credit),INR
STL0068,2026-07-26,44448.8,REF14363495,Wali-Padmanabhan,1049.0,43399.8,UPI/HDFC8478529823/Settlement for REF14363495 after platform fee,INR
STL0085,2026-07-25,21855.34,REF65512567,Rattan-Bansal,0.0,21855.34,UPI/HDFC6587537178/Settlement for REF65512567 (duplicate credit),INR
STL0018,2026-07-26,67508.28,REF50983930,Bhargava and Sons,0.0,67508.28,UPI/ICIC5284391408/Settlement for REF50983930,INR
STL0059,2026-07-18,5388.14,REF34558122,Rajagopal Ltd,0.0,5388.14,UPI partial settlement for REF34558122,INR
STL0016,2026-07-21,36172.81,REF82278248,"Sampath, Kakar and Zacharia",0.0,36172.81,UPI/SBIN2970753705/Settlement for REF82278248,INR
STL0095,2026-07-13,-64162.05,REF46270482,"Cherian, Misra and Tripathi",0,-64162.05,Chargeback reversal of REF46270482,INR
STL0072,2026-07-13,17745.9,REF00842710,"Mane, Singh and Srinivas",0.0,17745.9,UPI/ICIC4993808565/Delayed settlement for REF00842710,INR
STL0007,2026-07-06,58206.19,REF53419283,Shere Group,0.0,58206.19,UPI/KKBK9776552803/Settlement for REF53419283,INR
STL0060,2026-07-19,10776.28,REF34558122,Rajagopal Ltd,0.0,10776.28,UPI partial settlement for REF34558122,INR
STL0067,2026-07-05,46919.23,REF31367837,"Swaminathan, Sem and Badal",1107.29,45811.94,UPI/AXIS5310195918/Settlement for REF31367837 after platform fee,INR
STL0023,2026-07-15,76622.2,REF81080132,Sunder-Srivastava,0.0,76622.2,UPI/AXIS4919706735/Settlement for REF81080132,INR
STL0029,2026-07-08,52797.31,REF47510799,Borah PLC,0.0,52797.31,UPI/SBIN8086172302/Settlement for REF47510799,INR
STL0055,2026-07-12,2695.11,REF74348734,Brahmbhatt-Mangal,0.0,2695.11,UPI partial settlement for REF74348734,INR
STL0014,2026-07-24,9884.83,REF93252880,"Naik, Suresh and Bahl",0.0,9884.83,UPI/HDFC4529615275/Settlement for REF93252880,INR
STL0001,2026-07-22,4696.1,REF10433218,Sami Inc,0.0,4696.1,UPI/ICIC2051802512/Settlement for REF10433218,INR
STL0089,2026-07-27,330181.54,REF24771093,"Dutt, Mukhopadhyay and Atwal",0.0,330181.54,UPI/AXIS7954672204/Settlement for REF24771093 (FX converted),INR
STL0084,2026-07-25,21855.34,REF65512567,Rattan-Bansal,0.0,21855.34,UPI/HDFC9333798503/Settlement for REF65512567,INR
STL0019,2026-07-19,15752.06,REF10518347,Zacharia and Sons,0.0,15752.06,UPI/AXIS4698408854/Settlement for REF10518347,INR
STL0032,2026-07-04,38910.05,REF18244935,Lalla PLC,0.0,38910.05,UPI/AXIS4888749350/Settlement for REF18244935,INR
