settlement_id,date,amount,utr_reference,payer_account,fees_deducted,net_amount,description,currency
STL0003,2026-07-02,3718136,REF79402654,Kale LLC,0,3718136,UPI/HDFC9703905715/Settlement for REF79402654,INR
STL0024,2026-07-23,3387174,REF36026064,Mangal-Sampath,0,3387174,UPI/HDFC4944899549/Settlement for REF36026064,INR
STL0051,2026-07-25,1098104,REF28708317,Shetty Ltd,0,1098104,UPI partial settlement for REF28708317,INR
STL0002,2026-07-06,1508591,REF01338908,Saini and Sons,0,1508591,UPI/KKBK2812140441/Settlement for REF01338908,INR
STL0017,2026-07-10,4187722,REF34657871,Kar Inc,0,4187722,UPI/KKBK7609857128/Settlement for REF34657871,INR
STL0054,2026-07-11,1214068,REF88957986,"Sehgal, Dutt and Soman",0,1214068,UPI partial settlement for REF88957986,INR
STL0011,2026-07-15,7656962,REF71012269,Rajan Group,0,7656962,UPI/ICIC5993561321/Settlement for REF71012269,INR
STL0047,2026-07-23,327291,REF43320037,"Bora, Shah and Sachdeva",0,327291,UPI partial settlement for REF43320037,INR
STL0020,2026-07-06,7132668,REF99737631,Sankar LLC,0,7132668,UPI/KKBK5567816720/Settlement for REF99737631,INR
STL0049,2026-07-23,1132702,REF93676320,Sandal and Sons,0,1132702,UPI partial settlement for REF93676320,INR
STL0044,2026-07-03,5311415,REF44369957,Sathe-Kala,0,5311415,UPI/AXIS9805294274/Settlement for REF44369957,INR
STL0093,2026-07-23,-3636084,REF16934060,"Yohannan, Hegde and Patla",0,-3636084,Chargeback reversal of REF16934060,INR
STL0040,2026-07-22,1614689,REF29401965,"Murthy, Sarin and Vaidya",0,1614689,UPI/HDFC6009268066/Settlement for REF29401965,INR
STL0033,2026-07-12,4043055,REF74016400,De-Lala,0,4043055,UPI/ICIC8168204967/Settlement for REF74016400,INR
STL0037,2026-07-15,1883230,REF02563421,Barad-Singhal,0,1883230,UPI/HDFC1822873088/Settlement for REF02563421,INR
STL0008,2026-07-16,6400753,REF48350305,Loyal-Bhatti,0,6400753,UPI/AXIS7665963761/Settlement for REF48350305,INR
STL0064,2026-07-05,1362040,BULK931491,Issac-Borra,0,1362040,Bulk settlement covering 2 invoices,INR
STL0026,2026-07-09,4091154,REF09788208,Grewal Inc,0,4091154,UPI/KKBK5067116918/Settlement for REF09788208,INR
STL0042,2026-07-08,86161,REF61595148,Rege-Narain,0,86161,UPI/SBIN7249213370/Settlement for REF61595148,INR
STL0012,2026-07-13,4529144,REF97848018,Oak-Choudhury,0,4529144,UPI/AXIS4131575764/Settlement for REF97848018,INR
STL0028,2026-07-07,2820370,REF99854353,Randhawa-Deep,0,2820370,UPI/ICIC7900268326/Settlement for REF99854353,INR
STL0052,2026-07-26,2196208,REF28708317,Shetty Ltd,0,2196208,UPI partial settlement for REF28708317,INR
STL0056,2026-07-12,179674,REF74348734,Brahmbhatt-Mangal,0,179674,UPI partial settlement for REF74348734,INR
STL0031,2026-07-12,3910684,REF84980841,Lalla Inc,0,3910684,UPI/KKBK1945826486/Settlement for REF84980841,INR
STL0091,2026-07-01,825337,MISC467737,"Dhillon, Rajagopal and Halder",0,825337,Unidentified inward transfer,INR
STL0087,2026-07-19,5148175,REF71545168,Shere Group,0,5148175,UPI/KKBK6679017210/Settlement for REF71545168 (duplicate credit),INR
STL0053,2026-07-11,1214068,REF88957986,"Sehgal, Dutt and Soman",0,1214068,UPI partial settlement for REF88957986,INR
STL0043,2026-07-16,2647059,REF64823662,"Mitra, Ravi and Acharya",0,2647059,UPI/HDFC2274350418/Settlement for REF64823662,INR
STL0013,2026-07-08,6416205,REF46270482,"Cherian, Misra and Tripathi",0,6416205,UPI/ICIC3392080953/Settlement for REF46270482,INR
STL0078,2026-07-06,3045870,REF13493681,Dixit LLC,0,3045870,UPI/ICIC1164313410/Settlement ref REF13493681,INR
STL0077,2026-07-10,4732940,REF06797483,Mandal-Setty,0,4732940,UPI/ICIC5033992825/Settlement ref REF06797483,INR
STL0080,2026-07-20,4323462,REF46488771,"Baral, Sankaran and Naidu",0,4323462,UPI/SBIN9597198563/Settlement for REF46488771 (rounding),INR
STL0004,2026-07-09,3748379,REF11615594,Sharaf PLC,0,3748379,UPI/SBIN7825844140/Settlement for REF11615594,INR
STL0038,2026-07-20,2401868,REF33754330,"Hans, Rastogi and Narasimhan",0,2401868,UPI/SBIN6083042422/Settlement for REF33754330,INR
STL0030,2026-07-17,2080113,REF38425135,Dugar-Sarma,0,2080113,UPI/HDFC1965067727/Settlement for REF38425135,INR
STL0048,2026-07-22,1132702,REF93676320,Sandal and Sons,0,1132702,UPI partial settlement for REF93676320,INR
STL0062,2026-07-21,4577286,BULK272980,Nayar-Ravel,0,4577286,Bulk settlement covering 3 invoices,INR
STL0039,2026-07-16,1314748,REF41458685,D’Alia LLC,0,1314748,UPI/SBIN1420514789/Settlement for REF41458685,INR
STL0027,2026-07-05,1211193,REF91361939,"Baral, Bumb and Saini",0,1211193,UPI/KKBK4289233844/Settlement for REF91361939,INR
STL0076,2026-07-11,3790036,REF91334132,Borde and Sons,0,3790036,UPI/HDFC7006365648/Settlement ref REF91334132,INR
STL0090,2026-07-04,33628623,REF86131712,Manne-Upadhyay,0,33628623,UPI/ICIC1855256552/Settlement for REF86131712 (FX converted),INR
STL0045,2026-07-17,1004280,REF87214895,Keer Ltd,0,1004280,UPI/KKBK1798112150/Settlement for REF87214895,INR
STL0025,2026-07-22,8247443,REF87234309,"Bhat, Murthy and Bhandari",0,8247443,UPI/AXIS8760038701/Settlement for REF87234309,INR
STL0015,2026-07-28,6780428,REF15430391,Sunder Inc,0,6780428,UPI/ICIC1284277889/Settlement for REF15430391,INR
STL0010,2026-07-10,1388687,REF88496965,Devi PLC,0,1388687,UPI/HDFC4721519026/Settlement for REF88496965,INR
STL0009,2026-07-23,3276067,REF39537672,Dewan-Koshy,0,3276067,UPI/AXIS9786748825/Settlement for REF39537672,INR
STL0006,2026-07-06,5697119,REF34131647,"Patla, Gaba and Prabhakar",0,5697119,UPI/AXIS5693307665/Settlement for REF34131647,INR
STL0035,2026-07-28,3244548,REF98262045,Parmar and Sons,0,3244548,UPI/AXIS7146318035/Settlement for REF98262045,INR
STL0069,2026-07-20,212230,REF68557444,Dara Ltd,5009,207221,UPI/AXIS4882343658/Settlement for REF68557444 after platform fee,INR
STL0022,2026-07-25,4526583,REF38726247,Borra Group,0,4526583,UPI/ICIC5774080233/Settlement for REF38726247,INR
STL0074,2026-07-19,4213555,REF90229413,Saha PLC,0,4213555,UPI/ICIC4011966884/Delayed settlement for REF90229413,INR
STL0086,2026-07-19,5148175,REF71545168,Shere Group,0,5148175,UPI/ICIC6197695041/Settlement for REF71545168,INR
STL0094,2026-07-20,-1883230,REF02563421,Barad-Singhal,0,-1883230,Chargeback reversal of REF02563421,INR
STL0046,2026-07-24,327291,REF43320037,"Bora, Shah and Sachdeva",0,327291,UPI partial settlement for REF43320037,INR
STL0005,2026-07-27,2728638,REF16184959,Boase Inc,0,2728638,UPI/SBIN6756332150/Settlement for REF16184959,INR
STL0088,2026-07-17,33752620,REF03859770,Loke PLC,0,33752620,UPI/HDFC7490442894/Settlement for REF03859770 (FX converted),INR
